timestamp,eta_1.0_T0_10K_ffsct_0.100,eta_1.0_T0_10K_ffsct_0.068,eta_1.0_T0_10K_ffsct_0.047,eta_1.0_T0_80K_ffsct_0.100,eta_1.0_T0_80K_ffsct_0.068,eta_1.0_T0_80K_ffsct_0.047,eta_1.0_T0_400K_ffsct_0.100,eta_1.0_T0_400K_ffsct_0.068,eta_1.0_T0_400K_ffsct_0.047,eta_0.1_T0_10K_ffsct_0.100,eta_0.1_T0_80K_ffsct_0.100,eta_0.1_T0_400K_ffsct_0.100,eta_0.01_T0_10K_ffsct_0.100,eta_0.01_T0_80K_ffsct_0.100,eta_0.01_T0_400K_ffsct_0.100,eta_0.001_T0_10K_ffsct_0.100,eta_0.001_T0_80K_ffsct_0.100,eta_0.001_T0_400K_ffsct_0.100
,,,,,,,,,,,,0.795,,1.12,1.19,,1.4,1.684
,,,,,,,,,,,,0.795,,1.127,1.19,,1.404,1.687
,,,,,,,,,,,,0.795,,1.134,1.19,,1.407,1.689
,,,,,,,,,,,,0.795,,1.141,1.19,,1.41,1.692
,,,,,,,,,,,,0.795,,1.147,1.19,,1.414,1.695
,,,,,,,,,,,,0.795,,1.152,1.19,,1.417,1.698
,,,,,,,,,,,,0.795,,1.152,1.19,,1.42,1.7
,,,,,,,,,,,,0.795,,1.152,1.19,,1.423,1.703
,,,,,,,,,,,,0.795,,1.152,1.19,,1.426,1.705
,,,,,,,,,,,,0.795,,1.152,1.19,,1.429,1.708
,,,,,,,,,,,,0.795,,,1.19,,1.432,1.71
,,,,,,,,,,,,0.795,,,1.19,,1.435,1.713
,,,,,,,,,,,,0.795,,,1.19,,1.438,1.715
,,,,,,,,,,,,0.795,,,1.19,,1.441,1.718
,,,,,,,,,,,,0.795,,,1.19,,1.443,1.721
,,,,,,,,,,,,0.795,,,1.19,,1.446,1.723
,,,,,,,,,,,,0.795,,,1.19,,1.449,1.725
,,,,,,,,,,,,0.795,,,1.19,,1.452,1.728
,,,,,,,,,,,,0.795,,,1.19,,1.454,1.73
,,,,,,,,,,,,0.795,,,1.19,,1.457,1.733
